web_scraper_order,web_scraper_start_url,pagination-selector,Name,Name2,Name3,Name4,Price,Score,Prev race pts.
1763925487-253,https://fantasy.skiclassics.com/athletes,,Anikken Gjerde Alnæs,Team Engcon,https://skiclassics.com/wp-content/uploads/2024/11/VSC-Race-Suit_Engcon_New-4.svg,,$17 347,0 p.,-
1763925487-254,https://fantasy.skiclassics.com/athletes,,Hedda Nerdrum,Team Andiamo Fleischer Finans,https://skiclassics.com/wp-content/uploads/2024/10/SC-Race-Suit_Team-Andiamo_2024-09_4x.png,,$536,0 p.,-
1763925487-255,https://fantasy.skiclassics.com/athletes,,Matilda Bandefur,Team GS8,https://skiclassics.com/wp-content/uploads/2024/10/Team-GS8-Race-Suit-new.png,Youth,$680,0 p.,-
1763925487-256,https://fantasy.skiclassics.com/athletes,,Maja Heikki,Team GS8,https://skiclassics.com/wp-content/uploads/2024/10/Team-GS8-Race-Suit-new.png,Youth,$1 849,0 p.,-
1763925487-257,https://fantasy.skiclassics.com/athletes,,Henric Thunander,Bruse Sauerland Ski Team,https://skiclassics.com/wp-content/uploads/2023/03/BRUSE-Sauerland-Ski-Team-Race-Suit-2025.png,Youth,$230,0 p.,-
1763925487-258,https://fantasy.skiclassics.com/athletes,,Edvin Håkansson,Team GS8,https://skiclassics.com/wp-content/uploads/2024/10/Team-GS8-Race-Suit-new.png,Youth,$235,0 p.,-
1763925487-259,https://fantasy.skiclassics.com/athletes,,Håvard Taugbøl,Team Ragde Charge,https://skiclassics.com/wp-content/uploads/2023/03/Aukland-Coaching-AS_2024.svg,,$259,0 p.,-
1763925487-260,https://fantasy.skiclassics.com/athletes,,Matyáš Martan,eD system RSJ Team,,Youth,$519,0 p.,-
1763925487-261,https://fantasy.skiclassics.com/athletes,,Jáchym Poul,eD system RSJ Team,,Youth,$243,0 p.,-
1763925487-262,https://fantasy.skiclassics.com/athletes,,Tina Miranová,eD system RSJ Team,,Youth,$276,0 p.,-
1763925487-263,https://fantasy.skiclassics.com/athletes,,Jakub Bečvář,eD system RSJ Team,,Youth,$263,0 p.,-
1763925487-264,https://fantasy.skiclassics.com/athletes,,Simon Vuillet,Team Slavia Pojišťovna Robinson Trentino,https://skiclassics.com/wp-content/uploads/2023/03/vsc-race-suit-template-TEAM-ROBINSON-TRENTINO.png,Youth,$3 375,0 p.,-
